,category_id,views,likes,dislikes,comment_count,country,category
362458,24,0.011039664820266897,0.004783189791919131,0.0015876843407947984,5202,US,Entertainment
362459,25,0.002100623100887635,0.0034065887673417794,0.01608353029428202,32574,US,News & Politics
362462,24,0.0016433763138183873,0.00227313738025771,0.00040926060080073175,1866,US,Entertainment
362465,24,0.003853002409355781,0.00849206788880384,0.00022519615973708604,2396,US,Entertainment
362466,24,0.0012432456261152764,0.005572847186063981,0.00017789468326262964,3956,US,Entertainment
362469,25,0.0010024478446074639,0.0035423250484918757,0.0015491233545384482,2254,US,News & Politics
362471,10,0.004862043291002416,0.011531349291668588,0.0009316334279534245,7932,US,Music
362473,24,0.00401952900441054,0.007746052737285991,0.0009126100080669583,2744,US,Entertainment
362477,24,0.0074840604378688174,0.01227504873235317,0.003727562004780534,10838,US,Entertainment
362479,10,0.013238990325960669,0.04866484129275804,0.0025671333917060973,14818,US,Music
362480,24,0.001796264579306586,0.001305348383553679,0.00030386057170004075,643,US,Entertainment
362482,24,0.0015613131421829188,0.00035394749428509285,0.00018097956216313766,238,US,Entertainment
362485,10,0.010581998754672113,0.027554643205072046,0.002053501054771511,10191,US,Music
362487,24,0.002732167268718045,0.00995203450337889,0.0008221202269853895,4000,US,Entertainment
362488,10,0.022908999400160827,0.08793626878776278,0.00242985628063349,27363,US,Music
362492,24,0.00895709896194528,0.0010864246440084456,0.0010771368827607198,2024,US,Entertainment
362493,24,0.003381573172835712,0.002974263367930647,0.0010000149102480191,1863,US,Entertainment
362494,10,0.018347178377420136,0.026321616252157395,0.002312630882414185,5100,US,Music
362495,1,0.0002909321867745915,0.0017795347095662193,4.5759037024202416e-05,619,US,Film & Animation
362496,25,0.0016361472924989104,0.0007773663135682663,0.0001871493199641537,964,US,News & Politics
362498,24,0.0026797433200421647,0.003847642615278312,0.001006698814532453,2019,US,Entertainment
362499,10,0.0009550693712220105,0.001136835887532694,0.00024730445852406025,553,US,Music
362500,10,0.000495151450175478,0.0013276148338735767,6.324001746041458e-05,310,US,Music
362501,24,0.0023077372705125805,0.008995645929238646,0.0009393456252046946,6991,US,Entertainment
362502,10,0.0013737943548833976,0.0063694517127086386,0.00027815324752914053,1588,US,Music
362504,1,0.01223365464162115,0.002183715315773001,0.001413388682916095,1686,US,Film & Animation
362508,24,0.00476202887418098,0.006103679361690341,0.0008051533930325954,2231,US,Entertainment
362510,1,0.0022150460949040005,0.0023422524420506725,0.0003090020365342208,1055,US,Film & Animation
362511,24,0.0005920000785793911,0.0020649015368660274,5.7584406142816525e-05,2058,US,Entertainment
362512,10,0.0018902795444171363,0.0015219564122656434,0.00039794937816553565,348,US,Music
362516,24,0.007415586130355884,0.01629084758044735,0.0011881925231790088,7594,US,Entertainment
362519,24,0.012219926803155881,0.007276141569734871,0.0008154363227009555,3951,US,Entertainment
362520,10,0.0056096404570046415,0.013820874779361744,0.0006015513855990655,3976,US,Music
362523,24,0.002281921019726831,0.004561237815130391,0.0003218556986196709,2051,US,Entertainment
362524,24,0.0008607152144952971,0.0018645034839869486,6.58107498775046e-05,595,US,Entertainment
362531,10,0.00839964460727317,0.03232963894327346,0.0015974531239797405,12930,US,Music
362535,24,0.0014903325855061137,0.0017921820533479212,0.00030951618301763883,5373,US,Entertainment
362536,24,0.01766070636724731,0.05176914073055689,0.005698285475721746,31604,US,Entertainment
362537,24,0.004443763496337243,0.005363898816262061,0.0008288041312698236,1605,US,Entertainment
